-107.406428,31.594833,2002.03.01
-106.917389,30.082833,2002.03.01
-107.080233,31.591306,2002.03.02
-107.303875,31.502364,2002.03.08
-106.878286,32.596133,2002.03.08
-107.815264,32.263847,2002.03.08
-107.230050,31.498667,2002.03.09
-107.480928,31.843919,2002.03.11
-104.658564,31.070689,2002.03.11
-104.955503,31.883256,2002.03.11
-107.721867,32.171097,2002.03.12
-107.201789,31.537100,2002.03.13
-107.843136,30.268458,2002.03.14
-105.685811,29.542444,2002.03.16
-103.449819,30.801994,2002.03.16
-103.056811,27.791281,2002.03.19
-104.990656,30.863572,2002.03.20
-107.400411,31.404247,2002.03.23
-107.254456,31.415017,2002.03.24
-107.113086,31.607150,2002.03.25
-109.834722,32.458603,2002.04.26
-109.726142,32.350900,2002.04.27
-107.582456,31.799869,2002.04.28
-105.832075,31.154083,2002.04.28
-104.921644,30.930683,2002.05.01
-107.517450,31.422753,2002.05.01
-107.322425,31.473708,2002.05.02
-107.109317,31.561944,2002.05.03
-107.607264,31.370417,2002.05.21
-108.108231,31.230625,2002.06.03
-108.291883,31.069753,2002.06.04
-110.012319,36.847886,2002.06.09
-109.709178,36.604503,2002.06.09
-110.843975,34.583903,2002.06.23
-110.539847,34.443111,2002.06.23
-107.475169,32.017119,2002.11.15
-108.021372,31.310506,2002.12.17
-108.011808,30.755908,2002.12.17
-106.543861,30.618278,2002.12.17
-106.533369,29.489556,2002.12.17
-106.449017,28.437197,2002.12.17
-106.692342,29.697547,2002.12.18
-107.027503,28.442697,2002.12.18
-102.484622,33.308589,2003.01.01
-108.161756,32.336181,2003.02.02
-110.102769,34.950836,2003.02.02
-108.160764,32.108917,2003.02.03
-103.322419,32.876483,2003.02.14
-108.516008,31.851789,2003.02.18
-108.594822,31.899614,2003.02.19
-107.820556,31.062586,2003.03.04
-106.696203,30.025278,2003.03.04
-106.940569,31.682986,2003.03.05
-103.677853,31.039208,2003.03.18
-103.860125,30.923200,2003.03.19
-108.820347,30.914753,2003.03.27
-108.602367,31.662356,2003.03.27
-108.019619,30.500233,2003.03.27
-108.770183,31.347267,2003.03.28
-111.404797,36.359147,2003.03.29
-110.968806,35.461425,2003.03.29
-111.610083,36.163617,2003.04.02
-103.342667,32.059225,2003.04.02
-107.216053,31.581542,2003.04.03
-111.599064,36.164856,2003.04.03
-111.113425,35.236794,2003.04.03
-108.678031,35.761950,2003.04.03
-107.410836,31.403472,2003.04.05
-107.760444,31.786158,2003.04.06
-106.405758,30.290514,2003.04.06
-108.189575,31.424192,2003.04.15
-106.591778,30.287342,2003.04.15
-107.139136,31.541619,2003.04.16
-102.841014,30.594081,2003.04.16
-107.961425,31.342639,2003.04.17
-107.576836,31.854864,2003.04.17
-108.645414,35.574233,2003.04.17
-107.364222,32.198094,2003.04.18
-107.116569,31.270344,2003.04.18
-107.110069,31.570986,2003.04.19
-107.675125,29.762242,2003.04.19
-102.433703,32.675183,2003.04.19
-107.171222,31.548406,2003.04.20
-101.468942,33.292208,2003.04.20
-108.462594,31.528728,2003.04.22
-108.020817,31.192222,2003.04.22
-107.782431,31.566117,2003.04.23
-107.725722,32.098058,2003.04.23
-107.411372,31.530792,2003.04.24
-107.432967,32.256633,2003.04.24
-108.402028,31.661281,2003.05.03
-107.361822,31.443506,2003.05.03
-108.582039,35.307428,2003.05.04
-107.221906,31.526544,2003.05.05
-108.385442,31.171139,2003.05.11
-107.363378,31.461586,2003.05.11
-108.431211,31.103517,2003.05.15
-107.514719,31.031656,2003.06.10
-107.345589,30.388822,2003.06.10
-108.619439,30.996233,2003.06.11
-107.096467,31.026111,2003.06.11
-108.463242,31.109889,2003.06.12
-107.122025,31.588319,2003.06.14
-107.467383,31.690331,2003.06.15
-108.543300,30.647575,2003.06.15
-108.408147,30.650075,2003.06.20
-108.078953,31.141981,2003.06.21
-108.655350,35.564328,2003.06.23
-108.782161,35.608006,2003.06.24
